reprompts,total_input_tokens,total_output_tokens,total_tokens
0,1279,117,1396
0,2579,252,2831
0,3878,543,4421
0,5182,678,5860
0,6485,813,7298
0,7793,948,8741
0,9100,1083,10183
0,10413,1218,11631
0,11727,1353,13080
0,13041,1488,14529
0,14355,1623,15978
0,15669,1758,17427
0,16982,1893,18875
0,18296,2028,20324
0,19610,2163,21773
0,20924,2298,23222
0,22238,2433,24671
0,23552,2568,26120
0,24866,2703,27569
0,26180,2838,29018
0,27494,2973,30467
0,28808,3108,31916
0,30122,3243,33365
0,31435,3378,34813
0,32748,3513,36261
0,34061,3648,37709
0,35375,3783,39158
0,36689,3918,40607
0,38003,4053,42056
0,39317,4188,43505
0,40631,4323,44954
0,41945,4458,46403
0,43259,4593,47852
0,44573,4728,49301
0,45887,4863,50750
0,47201,4998,52199
0,48515,5133,53648
0,49829,5268,55097
0,51143,5403,56546
0,52457,5538,57995
0,53771,5673,59444
0,55085,5872,60957
0,56399,6007,62406
0,57713,6142,63855
0,59027,6277,65304
0,60340,6412,66752
0,61654,6547,68201
0,62968,7007,69975
0,64282,7142,71424
0,65596,7277,72873
0,66910,7412,74322
0,68224,7547,75771
0,69538,7682,77220
0,70852,7817,78669
0,72166,7952,80118
0,73480,8087,81567
0,74794,8222,83016
0,76108,8357,84465
0,77422,8492,85914
0,78735,8627,87362
0,80048,8762,88810
0,81362,8897,90259
0,82676,9032,91708
0,83990,9167,93157
0,85303,9302,94605
0,86617,9437,96054
